country_name,type,count,percentage
United States,Movie,2352,26.71
India,Movie,927,10.53
No Data,Movie,439,4.99
United Kingdom,Movie,382,4.34
Canada,Movie,187,2.12
France,Movie,147,1.67
Spain,Movie,127,1.44
Egypt,Movie,98,1.11
Nigeria,Movie,86,0.98
Mexico,Movie,86,0.98
